"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 20 19:45:06 IST 2024","Mon May 20 19:45:17 IST 2024","11225","chromium","srj.spec.js","Login API","","","Login API ASesssionID",""
"passed","Sun May 19 18:13:46 IST 2024","Sun May 19 18:13:47 IST 2024","940","chromium","api.test.spec.js","","","","API Post Request",""
"skipped","Sat May 18 18:32:43 IST 2024","Sat May 18 18:32:43 IST 2024","2","chromium","aruntest.spec.js","","","","Verify Application login",""
"failed","Sun May 19 18:13:48 IST 2024","Sun May 19 18:13:48 IST 2024","242","chromium","api.test.spec.js","","","","API Get Request",""
"passed","Tue Jun 11 11:27:01 IST 2024","Tue Jun 11 11:27:10 IST 2024","9373","chromium","loginakframework.spec.js","Login tests","","","login test with username: ymakvana@asite.com and expectedResult: true",""
"passed","Mon May 20 19:33:08 IST 2024","Mon May 20 19:33:10 IST 2024","2624","chromium","srj.spec.js","","","","API Get Request",""
"failed","Sat May 18 19:10:30 IST 2024","Sat May 18 19:10:47 IST 2024","16755","firefox","login.spec.js","","","","Verify Application login",""
"passed","Sat May 18 18:31:37 IST 2024","Sat May 18 18:32:03 IST 2024","26313","webkit","aruntest.spec.js","","","","Verify Application login",""
"passed","Mon May 20 19:38:40 IST 2024","Mon May 20 19:38:48 IST 2024","8154","chromium","srj.spec.js","Authenticated API tests","","","API Post Request to get session ID",""
"failed","Mon May 20 19:46:52 IST 2024","Mon May 20 19:46:57 IST 2024","4657","chromium","srj.spec.js","Login API","","","API Get Workspace-list",""
"passed","Mon May 20 19:04:58 IST 2024","Mon May 20 19:05:07 IST 2024","8930","firefox","srj.spec.js","","","","API Post Request",""
"passed","Tue Jun 11 11:26:50 IST 2024","Tue Jun 11 11:27:01 IST 2024","11056","chromium","loginakframework.spec.js","Login tests","","","login test with username: akhatri@asite.com and expectedResult: true",""
"passed","Sat May 18 19:10:30 IST 2024","Sat May 18 19:10:48 IST 2024","18043","chromium","login.spec.js","","","","Verify Application login",""
"passed","Mon May 20 10:46:52 IST 2024","Mon May 20 10:46:53 IST 2024","1708","firefox","srj.spec.js","","","","API Get Request",""
"broken","Sat May 18 18:31:04 IST 2024","Sat May 18 18:31:39 IST 2024","34925","firefox","aruntest.spec.js","","","","Verify Application login",""
"failed","Sun May 19 18:13:48 IST 2024","Sun May 19 18:13:48 IST 2024","170","firefox","api.test.spec.js","","","","API Get Request",""
"failed","Sat May 18 19:10:30 IST 2024","Sat May 18 19:10:48 IST 2024","17681","webkit","login.spec.js","","","","Verify Application login",""
"passed","Mon May 20 19:05:09 IST 2024","Mon May 20 19:05:15 IST 2024","5841","webkit","srj.spec.js","","","","API Post Request",""
"failed","Sun May 19 18:13:48 IST 2024","Sun May 19 18:13:48 IST 2024","152","webkit","api.test.spec.js","","","","API Get Request",""
"passed","Mon May 20 10:46:52 IST 2024","Mon May 20 10:46:53 IST 2024","1717","webkit","srj.spec.js","","","","API Get Request",""
"passed","Sun May 19 18:13:47 IST 2024","Sun May 19 18:13:48 IST 2024","463","firefox","api.test.spec.js","","","","API Put Request",""
"passed","Sun May 19 18:13:47 IST 2024","Sun May 19 18:13:48 IST 2024","569","chromium","api.test.spec.js","","","","API Put Request",""
"passed","Sun May 19 18:13:46 IST 2024","Sun May 19 18:13:47 IST 2024","736","webkit","api.test.spec.js","","","","API Post Request",""
"passed","Mon May 20 19:38:48 IST 2024","Mon May 20 19:39:03 IST 2024","14809","chromium","srj.spec.js","Authenticated API tests","","","API Get Request with session ID",""
"passed","Mon May 20 19:31:12 IST 2024","Mon May 20 19:31:22 IST 2024","10182","chromium","srj.spec.js","","","","API Post Request",""
"passed","Sun May 19 18:13:47 IST 2024","Sun May 19 18:13:48 IST 2024","499","webkit","api.test.spec.js","","","","API Put Request",""
"passed","Sun May 19 18:13:46 IST 2024","Sun May 19 18:13:47 IST 2024","813","firefox","api.test.spec.js","","","","API Post Request",""
"passed","Mon May 20 18:33:33 IST 2024","Mon May 20 18:33:36 IST 2024","2430","chromium","srj.spec.js","","","","API Get Request Workspacelist",""
